"","Display.Name","STATION","Automatic.ID","X15.characters.","Energy.Identification.Code","Function","EIC.Name...Asset.Name","Trading.Agent.ID","EIC.Responsible.Party","EIC.Locality","Last.Request.Date","Contact.Name","Contact.Email","BMU_TYPE","DEMAND_GEN_FLAG","BMRA_FUEL_TYPE","MAX_CAPACITY","NODE"
"1","DAMC-1","DAMC","48W000000DAMC-1",NA,"48W000000DAMC.1M","Generation Unit","Damhead Creek DAMC-1","SCO_POWER","Scottish Power Energy Management Centre","Local","23/09/2014","Ewan Stott, Acting Operational Trading Manager","ewan.stott.@scottishpower.com","GEN","G","CCGT","805","KINO41"
"2","HRTL-2","HRTL","48W000000HRTL-2",NA,"48W000000HRTL.24","Generation Unit","Hartlepool HRTL-2","JAD_POWER","EDF Energy","Local","23/09/2014","Richard Devenport","^OptimisationPowerOperations@edfenergy.com","GEN","G","NUCLEAR","666","HATL21"
"3","TORN-1","TORN","48W000000TORN-1",NA,"48W000000TORN.1G","Generation Unit","Torness TORN-1","JAD_POWER","EDF Energy","Local","23/09/2014","Richard Devenport","^OptimisationPowerOperations@edfenergy.com","GEN","G","NUCLEAR","685","TORN41"
"4","FAWN-1","FAWN","48W000000FAWN-1",NA,"48W000000FAWN.1P","Generation Unit","Fawley North FAWN-1","EPC_POWER","Esso Petroleum Company Limited","Local","23/09/2014","Dave N. Vaughan","dave.n.vaughan@exxonmobil.com","GEN","G","CCGT","150","FAWL41"
"5","SIZB-2","SIZB","48W000000SIZB-2",NA,"48W000000SIZB.2S","Generation Unit","Sizewell B SIZB-2","JAD_POWER","EDF Energy","Local","23/09/2014","Richard Devenport","^OptimisationPowerOperations@edfenergy.com","GEN","G","NUCLEAR","660","SIZE41"
"6","HEYM27","HEYM2","48W000000HEYM27",NA,"48W000000HEYM27Y","Generation Unit","Heysham 2 HEYM27","JAD_POWER","EDF Energy","Local","23/09/2014","Richard Devenport","^OptimisationPowerOperations@edfenergy.com","GEN","G","NUCLEAR","672","HEYS41"
"7","GRMO-1","GRMO","48W100000GRMO-1",NA,"48W100000GRMO.1N","Generation Unit","Grangemouth GRMO-1","Not used (Dummy ID 13)","Grangemouth CHP Limited","Local","23/09/2014","Ari Kiuru","ari.kiuru@fortum.com","GEN","G","CCGT","144","GRMO21"
"8","DNGB22","DNGB","48W000000DNGB22",NA,"48W000000DNGB224","Generation Unit","Dungeness B DNGB22","JAD_POWER","EDF Energy","Local","23/09/2014","Richard Devenport","^OptimisationPowerOperations@edfenergy.com","GEN","G","NUCLEAR","660","DUNG41"
"9","HINB-7","HINB","48W000000HINB-7",NA,"48W000000HINB.77","Generation Unit","Hinkley Point B HINB-7","JAD_POWER","EDF Energy","Local","23/09/2014","Richard Devenport","^OptimisationPowerOperations@edfenergy.com","GEN","G","NUCLEAR","700","HINP41"
"10","DNGB21","DNGB","48W000000DNGB21",NA,"48W000000DNGB216","Generation Unit","Dungeness B DNGB21","JAD_POWER","EDF Energy","Local","23/09/2014","Richard Devenport","^OptimisationPowerOperations@edfenergy.com","GEN","G","NUCLEAR","660","DUNG41"
"11","TORN-2","TORN","48W000000TORN-2",NA,"48W000000TORN.2E","Generation Unit","Torness TORN-2","JAD_POWER","EDF Energy","Local","23/09/2014","Richard Devenport","^OptimisationPowerOperations@edfenergy.com","GEN","G","NUCLEAR","685","TORN41"
"12","HEYM12","HEYM1","48W000000HEYM12",NA,"48W000000HEYM12A","Generation Unit","Heysham 1 HEYM12","JAD_POWER","EDF Energy","Local","23/09/2014","Richard Devenport","^OptimisationPowerOperations@edfenergy.com","GEN","G","NUCLEAR","666","HEYS41"
"13","SIZB-1","SIZB","48W000000SIZB-1",NA,"48W000000SIZB.1U","Generation Unit","Sizewell B SIZB-1","JAD_POWER","EDF Energy","Local","23/09/2014","Richard Devenport","^OptimisationPowerOperations@edfenergy.com","GEN","G","NUCLEAR","660","SIZE41"
"14","FASN-4","FASN","48W000000FASN-4",NA,"48W000000FASN.42","Generation Unit","Fasnakyle FASN-4","SSE_GROUP","SSE Energy Supply Ltd","Local","23/09/2014","Martin B MacLeod","martin.macleod@sse.com","GEN","G","NPSHYD","8","FASN11"
"15","SCCL-3","SCCL","48W000000SCCL-3",NA,"48W000000SCCL.3Q","Generation Unit","Saltend SCCL-3","SALTENDPS","International Power PLC","Local","23/09/2014","Simon Baxter","simon.baxter@gdfsuez.com","GEN","G","CCGT","400","SAES21"
"16","HUMR-1","HUMR","48W100000HUMR-1",NA,"48W100000HUMR.1N","Generation Unit","Immingham CHP LLP HUMR-1","IMM_POWER","Immingham CHP LLP","Local","23/09/2014","Adam Lewis","alewis@vpi-i.com","GEN","G","CCGT","1,240","HUMR41"
"17","HUNB-8","HUNB","48W000000HUNB-8",NA,"48W000000HUNB.87","Generation Unit","Hunterston HUNB-8","JAD_POWER","EDF Energy","Local","23/09/2014","Richard Devenport","^OptimisationPowerOperations@edfenergy.com","GEN","G","NUCLEAR","660","HUER41"
"18","HEYM28","HEYM2","48W000000HEYM28",NA,"48W000000HEYM28W","Generation Unit","Heysham 2 HEYM28","JAD_POWER","EDF Energy","Local","23/09/2014","Richard Devenport","^OptimisationPowerOperations@edfenergy.com","GEN","G","NUCLEAR","672","HEYS41"
"19","DRAXX-3","DRAXX","48W00000DRAXX-3",15,"48W00000DRAXX.3A","Generation Unit","Drax DRAXX-3","DRX_POWER","Drax Power Ltd","Local","23/09/2014","Nicola Garrett","nicola.garrett@drax.com","GEN","G","BIOMASS","645","DRAX41"
